FileName,Path,ID,Group,Category,DateTaken
Macaque_Face_1.jpg,/Contrast/Dan,Dan,G58,Contrast,03-07-2014
Macaque_Face_2.jpg,/Contrast/Dan,Dan,G58,Contrast,03-07-2014
Macaque_Face_3.jpg,/Contrast/Dan,Dan,G58,Contrast,06-08-2014
Macaque_Face_4.jpg,/Contrast/Dan,Dan,G58,Contrast,06-08-2014
Macaque_Face_5.jpg,/Contrast/Dan,Dan,G58,Contrast,12-06-2014
Macaque_Face_6.jpg,/Contrast/Dan,Dan,G58,Contrast,12-06-2014
Macaque_Face_7.jpg,/Contrast/Dan,Dan,G58,Contrast,14-04-2015
Macaque_Face_8.jpg,/Contrast/Dan,Dan,G58,Contrast,18-09-2014
Macaque_Face_9.jpg,/Contrast/Dan,Dan,G58,Contrast,20-01-2015
Macaque_Face_10.jpg,/Contrast/Dan,Dan,G58,Contrast,20-01-2015
Macaque_Face_11.jpg,/Expression/Dan,Dan,G58,Expression,01-06-2015
Macaque_Face_12.jpg,/Expression/Dan,Dan,G58,Expression,03-07-2014
Macaque_Face_13.jpg,/Expression/Dan,Dan,G58,Expression,05-09-2014
Macaque_Face_14.jpg,/Expression/Dan,Dan,G58,Expression,06-08-2014
Macaque_Face_15.jpg,/Expression/Dan,Dan,G58,Expression,06-10-2014
Macaque_Face_16.jpg,/Expression/Dan,Dan,G58,Expression,08-06-2015
Macaque_Face_17.jpg,/Expression/Dan,Dan,G58,Expression,12-11-2014
Macaque_Face_18.jpg,/Expression/Dan,Dan,G58,Expression,26-08-2014
Macaque_Face_19.jpg,/Expression/Dan,Dan,G58,Expression,26-08-2014
Macaque_Face_20.jpg,/Expression/Dan,Dan,G58,Expression,26-08-2014
Macaque_Face_21.jpg,/Good/Dan,Dan,G58,Good,04-12-2014
Macaque_Face_22.jpg,/Good/Dan,Dan,G58,Good,04-12-2014
Macaque_Face_23.jpg,/Good/Dan,Dan,G58,Good,04-12-2014
Macaque_Face_24.jpg,/Good/Dan,Dan,G58,Good,04-12-2014
Macaque_Face_25.jpg,/Good/Dan,Dan,G58,Good,04-12-2014
Macaque_Face_26.jpg,/Good/Dan,Dan,G58,Good,05-09-2014
Macaque_Face_27.jpg,/Good/Dan,Dan,G58,Good,05-09-2014
Macaque_Face_28.jpg,/Good/Dan,Dan,G58,Good,05-09-2014
Macaque_Face_29.jpg,/Good/Dan,Dan,G58,Good,05-09-2014
Macaque_Face_30.jpg,/Good/Dan,Dan,G58,Good,05-09-2014
Macaque_Face_31.jpg,/Good/Dan,Dan,G58,Good,06-08-2014
Macaque_Face_32.jpg,/Good/Dan,Dan,G58,Good,06-08-2014
Macaque_Face_33.jpg,/Good/Dan,Dan,G58,Good,06-08-2014
Macaque_Face_34.jpg,/Good/Dan,Dan,G58,Good,06-08-2014
Macaque_Face_35.jpg,/Good/Dan,Dan,G58,Good,06-08-2014
Macaque_Face_36.jpg,/Good/Dan,Dan,G58,Good,06-10-2014
Macaque_Face_37.jpg,/Good/Dan,Dan,G58,Good,06-10-2014
Macaque_Face_38.jpg,/Good/Dan,Dan,G58,Good,06-10-2014
Macaque_Face_39.jpg,/Good/Dan,Dan,G58,Good,06-10-2014
Macaque_Face_40.jpg,/Good/Dan,Dan,G58,Good,06-10-2014
Macaque_Face_41.jpg,/Good/Dan,Dan,G58,Good,06-10-2014
Macaque_Face_42.jpg,/Good/Dan,Dan,G58,Good,06-10-2014
Macaque_Face_43.jpg,/Good/Dan,Dan,G58,Good,06-10-2014
Macaque_Face_44.jpg,/Good/Dan,Dan,G58,Good,08-07-2015
Macaque_Face_45.jpg,/Good/Dan,Dan,G58,Good,08-07-2015
Macaque_Face_46.jpg,/Good/Dan,Dan,G58,Good,08-07-2015
